SKU_ID,SKU,BrandSlug,LineOfBusiness,Channel,SubChannel,ProductPath,BundleSlug,BundleName,BundleDescription,EffectiveDate,ExpirationDate,State,Commodity,UtilityCode,UtilityAbbrev,PremiseType,LockType,TermsOfServiceType,PricingTerm,UtilityRate,Rate,UtilityOnPeakRate,OnPeakRate,UtilityOffPeakRate,OffPeakRate,ECF,ComcastPTC_Discount,DailyServiceCharge,MonthlyServiceCharge,VAS_Code,ProductEligibilityClass,PartnerCode,PromoCode,SignupBonus,SignupVesting,MerchandiseSlug,Merchandise,MerchandiseVesting,OngoingValue,OngoingFrequency,Sunday2cents,PriorityLevel,RequiresCorrespondence,TOS_Template,TOS_TemplateLabels,UMS_KitCode,CEN_KitCode,PromoSwitchKitCode,EnvironmentUse
211847,291C94A0-849A,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,75,PECO-GAS,residential,intro,variable,3,0.51,0.51,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211848,293CF73C-98C0,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,76,PGW,residential,intro,variable,3,0.49,0.49,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211846,28461FA6-B954,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,77,NFGPA,residential,intro,variable,3,0.47,0.47,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
210893,001E1EC0-5175,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/22/2019,,OH,Gas,50,COLOHG,residential,Intro,Variable,3,5.39,0.539,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
210894,0048213C-99E8,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/22/2019,,OH,Gas,51,DUKEOHG,residential,Intro,Variable,3,0.539,0.539,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
210895,00B6BD5B-1477,nrg_residential,mass_market,door_to_door,,,cash_back_only_gas,The Cash Back Plan,D2D Cash Back Only Plan (Gas),04/22/2019,,OH,Gas,52,DEOHG,residential,Intro,Variable,3,3.69,3.69,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
228458,03C5E775-503D,nrg_residential,mass_market,door_to_door,,,gz_rockout2_black,Renewable Plan,Goal Zero Rock Out 2 Solar Speaker,02/09/2020,,OH,Electric,72,CEI,residential,Contract,Fixed,6,0.059,0.059,,,,,$0.00,,,,11,,gze,406,,,gz_rockout2_black,Goal Zero Rock Out 2 Solar Rechargeable Speaker,P3M,,,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
228459,03DBA31B-1BF0,nrg_residential,mass_market,door_to_door,,,gz_rockout2_black,Renewable Plan,Goal Zero Rock Out 2 Solar Speaker,02/09/2020,,OH,Electric,73,OE,residential,Contract,Fixed,6,0.059,0.059,,,,,$0.00,,,,11,,gze,406,,,gz_rockout2_black,Goal Zero Rock Out 2 Solar Rechargeable Speaker,P3M,,,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
228343,00DDDB56-924E,nrg_residential,mass_market,door_to_door,,,gz_rockout2_black,Renewable Plan,Goal Zero Rock Out 2 Solar Speaker,02/04/2020,,IL,Electric,81,Ameren,residential,Contract,Fixed,6,0.065,0.065,,,,,$0.00,,,,11,,gze,406,,,gz_rockout2_black,Goal Zero Rock Out 2 Solar Rechargeable Speaker,P3M,,,N,,Y,,,,,,All
228344,01403B2E-1586,nrg_residential,mass_market,door_to_door,,,gz_rockout2_black,Renewable Plan,Goal Zero Rock Out 2 Solar Speaker,02/04/2020,,NJ,Electric,30,RECO,residential,contract,fixed,6,0.123,0.123,,,,,$60.00,,,,11,,gze,406,,,gz_rockout2_black,Goal Zero Rock Out 2 Solar Rechargeable Speaker,P3M,,,N,,Y,,,,,,All
225648,0AE9677E-9BCB,nrg_residential,mass_market,door_to_door,,,price_lock_12m,12M Price Lock Plan,12M Price Lock Plan,10/08/2019,,IL,Electric,81,Ameren,residential,Contract,Fixed,12,0.069,0.069,,,,,$0.00,,,,6,,nrr,524,,,,,,,,N,,Y,,,,,,All
198764,0B715C7E-9CF2,nrg_residential,mass_market,door_to_door,,,price_lock_12m,12M Price Lock Plan,12M Price Lock Plan,12/26/2018,,OH,Electric,72,CEI,residential,Contract,Fixed,12,0.07,0.07,,,,,$0.00,,,,6,,nrr,524,,,,,,,,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
198765,0C901D41-CB43,nrg_residential,mass_market,door_to_door,,,price_lock_12m,12M Price Lock Plan,12M Price Lock Plan,12/26/2018,,OH,Electric,73,OE,residential,Contract,Fixed,12,0.069,0.069,,,,,$0.00,,,,6,,nrr,524,,,,,,,,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
227438,03CB832F-987D,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),01/06/2020,,PA,Gas,68,UGIG,residential,Intro,Variable,3,0.49,0.49,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210915,0445410D-7A14,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,IL,Gas,70,NICOR,residential,Intro,Variable,3,0.49,0.49,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210907,024D5C7B-C0A8,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,MD,Gas,56,BGG,residential,Intro,Variable,3,0.47,0.47,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210914,043CFE97-5C67,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,MD,Gas,57,WGL,residential,Intro,Variable,3,0.51,0.51,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210916,04477E60-C9B0,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,OH,Gas,50,COLOHG,residential,Intro,Variable,3,5.39,0.539,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
210917,04AEF347-1A7A,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,OH,Gas,51,DUKEOHG,residential,Intro,Variable,3,0.539,0.539,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
210918,04D1AE0E-A78B,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,OH,Gas,52,DEOHG,residential,Intro,Variable,3,3.69,3.69,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
210919,05020DDB-0718,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,PA,Gas,64,COLPAG,residential,Intro,Variable,3,3.69,0.369,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210920,0526CB31-EA7B,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,PA,Gas,65,PNGPA,residential,Intro,Variable,3,3.6876,3.6876,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210911,02C0F196-8073,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,PA,Gas,75,PECO-GAS,residential,Intro,Variable,3,0.55,0.55,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210912,03DA185A-7899,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,PA,Gas,76,PGW,residential,Intro,Variable,3,0.53,0.53,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210913,042B4708-1248,nrg_residential,mass_market,door_to_door,,,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,PA,Gas,77,NFGPA,residential,Intro,Variable,3,0.51,0.51,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
228460,0444163A-5216,nrg_residential,mass_market,door_to_door,,,variable,Essentials Electric Variable Plan,Basic Door-to-Door Variable Plan,02/09/2020,,OH,Electric,72,CEI,residential,intro,variable,3,0.045,0.045,,,,,,,,,7,,nrr,631,,,,,,1%,12 Months,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
228461,05B32E0E-282D,nrg_residential,mass_market,door_to_door,,,variable,Essentials Electric Variable Plan,Basic Door-to-Door Variable Plan,02/09/2020,,OH,Electric,73,OE,residential,intro,variable,3,0.049,0.049,,,,,,,,,7,,nrr,631,,,,,,1%,12 Months,N,,Y,NRGH-OH-PE-V01-20170623,,,,,All
225676,0CDF3962-EA25,nrg_residential,mass_market,door_to_door,,,variable,Essentials Electric Variable Plan,Basic Door-to-Door Variable Plan,10/08/2019,,NJ,Electric,30,RECO,residential,intro,variable,3,0.114,0.114,,,,,,,,,7,,nrr,631,,,,,,1%,12 Months,N,,Y,,,,,,All
209270,0010E36F-D630,nrg_residential,mass_market,door_to_door,,,variable,Essentials Electric Variable Plan,Basic Door-to-Door Variable Plan,04/21/2019,,IL,Electric,81,Ameren,residential,Intro,Variable,3,0.047,0.047,,,,,,,,,7,,nrr,631,,,,,,1%,12 Months,N,,Y,,,,,,All
227434,07CBDEF4-F11A,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),01/06/2020,,PA,Gas,68,UGIG,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
226352,04D1652B-23DB,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),10/18/2019,,PA,Gas,75,PECO-GAS,residential,intro,variable,3,0.55,0.55,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211761,00A11E69-C0A0,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,IL,Gas,70,NICOR,residential,intro,variable,3,0.35,0.35,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211762,01573465-0045,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,MD,Gas,56,BGG,residential,intro,variable,3,0.41,0.41,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211763,01806AB4-0187,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,MD,Gas,57,WGL,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211764,022FB52C-633E,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,OH,Gas,50,COLOHG,residential,intro,variable,3,4.19,0.419,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
211766,0468A184-AC2D,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,OH,Gas,51,DUKEOHG,residential,intro,variable,3,0.419,0.419,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
211765,02714B32-A80F,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,OH,Gas,52,DEOHG,residential,intro,variable,3,2.89,2.89,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,NRGH-OH-PE-V01-G-20171010,,,,,All
211767,04998035-C2F3,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,PA,Gas,64,COLPAG,residential,intro,variable,3,2.99,0.299,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211771,06D56D47-D2E6,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,PA,Gas,65,PNGPA,residential,intro,variable,3,2.89,2.89,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211770,06B54B73-C75B,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,PA,Gas,76,PGW,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
211768,063BB79C-4FA2,nrg_residential,mass_market,door_to_door,,,variable_gas,Essentials Natural Gas Plan,Basic Door-to-Door Variable Plan (Gas),04/23/2019,,PA,Gas,77,NFGPA,residential,intro,variable,3,0.43,0.43,,,,,,,,,6,,nrr,634,,,,,,1%,12 Months,N,,Y,,,,,,All
212081,98420093-3769,nrg_residential,mass_market,inbound_telemarketing,,,fixed,Fixed,retention offer: 2 miles/ $1,04/23/2019,,NJ,Electric,30,RECO,residential,contract,fixed,12,0.118,0.118,,,,,$120.00,,,,6,,mar,620,,,,,,2*,1 Month,N,23.0,Y,,,,,,All
212008,7855E9E8-C678,nrg_residential,mass_market,inbound_telemarketing,,,variable,Variable,10k Bonus Units + 2 Units / $1 Supply,04/23/2019,,NJ,Electric,30,RECO,residential,intro,variable,3,0.104,0.104,,,,,,,,,6,,aal,47,"10,000 Miles",2 Months,,,,2*,1 Month,N,23.0,Y,,,,,,All
212009,7858AB54-4FB9,nrg_residential,mass_market,inbound_telemarketing,,,variable,Variable,10k Bonus Units + 2 Units / $1 Supply,04/23/2019,,NJ,Electric,30,RECO,residential,intro,variable,3,0.104,0.104,,,,,,,,,6,,ual,47,"10,000 Miles",2 Months,,,,2*,1 Month,N,23.0,Y,,,,,,All
228462,05FFD4CC-0151,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only,The Cash Back Plan,Inbound Cash Back Only Plan,02/09/2020,,OH,Electric,72,CEI,residential,Contract,Fixed,6,0.059,0.059,,,,,$0.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
228463,092F3499-E774,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only,The Cash Back Plan,Inbound Cash Back Only Plan,02/09/2020,,OH,Electric,73,OE,residential,Contract,Fixed,6,0.059,0.059,,,,,$0.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
228345,020BEE4F-BEBA,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only,The Cash Back Plan,Inbound Cash Back Only Plan,02/04/2020,,IL,Electric,81,Ameren,residential,Contract,Fixed,6,0.062,0.062,,,,,$0.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
228346,0322988F-1E92,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only,The Cash Back Plan,Inbound Cash Back Only Plan,02/04/2020,,NJ,Electric,30,RECO,residential,contract,fixed,6,0.119,0.119,,,,,$60.00,,,,6,,nrr,535,$50,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
227431,09EB5056-A8E2,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),01/06/2020,,PA,Gas,68,UGIG,residential,intro,variable,3,0.47,0.47,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211854,2B250AC7-FA2A,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,IL,Gas,69,PEOPGAS,residential,intro,variable,3,0.51,0.51,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211853,2AD9DB8E-3AFB,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,IL,Gas,70,NICOR,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211855,2B8DE72B-66D8,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,MD,Gas,56,BGG,residential,intro,variable,3,0.45,0.45,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211856,2BD3BA68-646C,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,MD,Gas,57,WGL,residential,intro,variable,3,0.49,0.49,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211857,2BE0BF58-7C93,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,NJ,Gas,48,PSEG Gas,residential,intro,variable,3,0.35,0.35,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211858,2C53F11B-E0FC,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,NJ,Gas,80,SJersey,residential,intro,variable,3,0.53,0.53,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211859,2C795670-0A5A,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,64,COLPAG,residential,intro,variable,3,2.99,0.299,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211863,2F3C6E58-78B1,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,65,PNGPA,residential,intro,variable,3,3.6876,3.6876,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211861,2DB0B665-AD88,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,75,PECO-GAS,residential,intro,variable,3,0.51,0.51,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211862,2E5DB7D4-3F35,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,76,PGW,residential,intro,variable,3,0.49,0.49,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
211860,2C7A7615-317C,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/23/2019,,PA,Gas,77,NFGPA,residential,intro,variable,3,0.47,0.47,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
210941,0A9B75B0-A74F,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/22/2019,,OH,Gas,50,COLOHG,residential,Intro,Variable,3,5.39,0.539,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
210942,0ADFF39C-6356,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/22/2019,,OH,Gas,51,DUKEOHG,residential,Intro,Variable,3,0.539,0.539,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
210943,0AFD0513-C8CB,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,cash_back_only_gas,The Cash Back Plan,Inbound Cash Back Only Plan (Gas),04/22/2019,,OH,Gas,52,DEOHG,residential,Intro,Variable,3,3.69,3.69,,,,,,,,,6,,nrr,572,$15,6 Months,,,,5%,12 Months,N,,Y,,,,,,All
227430,0AC2786C-F575,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),01/06/2020,,PA,Gas,68,UGIG,residential,Intro,Variable,3,0.49,0.49,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
226353,08CB91CB-445F,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),10/18/2019,,PA,Gas,75,PECO-GAS,residential,Intro,Variable,3,0.59,0.59,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210965,1344EF8B-4433,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,IL,Gas,69,PEOPGAS,residential,Intro,Variable,3,0.55,0.55,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
210966,139782E1-3B34,nrg_residential,mass_market,inbound_telemarketing,,*Primary Plans,renewable_plan_gas,Carbon Offset Plan,Goal Zero Guide 10 (Gas),04/22/2019,,IL,Gas,70,NICOR,residential,Intro,variable,3,0.49,0.49,,,,,,,,,19,,gze,577,,,gz_guide10,Goal Zero Guide 10,P3M,,,N,,Y,,,,,,All
