Action,SKU,CampaignID,OfferID,BrandSlug,ChannelSlug,SubChannel,Ranking,ProductSlug,ProductName,ProductDescription,BaseProduct,ProductPath,ExpirationDate,StateSlug,Commodity,UtilitySlug,UtilityZone,PremiseType,PricingTerm,PricingEngineLockType,TermsOfServiceType,UtilityRate,Rate,UtilityOnPeakRate,OnPeakRate,UtilityOffPeakRate,OffPeakRate,PenaltyType,EarlyCancellationFee,DailyServiceCharge,MonthlyServiceCharge,VASCode,ProductEligibilityClass,Adder,PartnerCode,PromoCode,MerchandiseText,MerchandiseSlug,MerchandiseVesting,SignupBonus,SignupVesting,OngoingValue,OngoingFrequency,PriorityLevel,TermsOfServiceTemplate,RequiresPriceChangeNotice,RateCategory
None,g0084c0e76296fb7,U-00004827,1000036555,nrg_residential,retention,,1.0,retention_atk_2pcnt_earn_3,Power Trip Electric Plan with Amtrak Guest Rewards points,SAVE2 Retention 3 Month,,SAVE2,02/02/2222,pa,electric,penn,,residential,3,intro,variable,0.076,0.076,,,,,,,,,6,,,atk,620,,,,,,2*,1 Month,23.0,,False,NRGHRVAR
None,g0086ea32a0780b1,U-00004911,1000036749,nrg_residential,inbound_telemarketing,,,nst_1mon_15mon_fixed,Learn & Conserve Plan,Google Nest after 1 month of service,,Google Nest Learn and Conserve Plan,02/02/2222,ma,electric,beco,,residential,15,contract,fixed,0.14,0.14,,,,,prorated,150.0,,,6,,,nst,612,Google Nest Learning Thermostat,nest_learning_thermostat,1 month,,,,,,,False,NRGHRFIX
None,g0091289d9d3b5c3,U-00005232,1000047178,nrg_residential,inbound_telemarketing,,,swa_2mon_12500_bonus_3pcnt_earn,SWA Premier Power Trip Electric Plan w Rapid Rewards points,"12,500 bonus/ 3 points per $1  (SWA Premier Only) - January 2020 DM",,Partnership/Airline/Southwest,12/31/9999,pa,electric,wpp,,residential,3,intro,variable,0.046,0.046,,,,,,,,,6,,,swa,98,,,,"12,500 Points",2 Months,3*,1 Month,23.0,,False,NRGHRVAR
None,g00ac74299c964d8,U-00003512,1000049652,nrg_residential,web,,,variable_corporate,Essentials Electric Variable Plan,Basic Web Variable Plan - nrghomepower.com,,,02/02/2222,pa,electric,wpp,,residential,3,intro,variable,0.053,0.053,,,,,,,,,7,,,nrr,632,,,,$25,3 Months,1%,12 Months,,,False,NRGHRVAR
None,g00b38391c53f355,U-00004502,1000047908,nrg_residential,web,,,philabundance_gives,Fixed plan that benefits Philabundance,"$50 contribution to Philabundance after 1 month of service, and 1% ongoing contribution annually",,,02/02/2222,nj,electric,pseg,,residential,12,contract,fixed,0.149,0.149,,,,,prorated,120.0,,,6,,,pbn,142,,,,$50,1 Months,1%,12 Months,26.0,,False,NRGHRFIX2
None,g00bb2b8d308f8e6,U-00004729,1000049292,nrg_residential,retail,essentials|aal|pfb|ual,,variable,Essentials Electric Variable Plan,Basic Retail Variable Plan,,,02/02/2222,pa,electric,duq,,residential,3,intro,variable,0.067,0.067,,,,,,,,,7,,,nrr,632,,,,$25,3 Months,1%,12 Months,,,False,NRGHRVAR
None,g00e90c57f7a104f,U-00004812,1000047957,nrg_residential,retention,,1.0,retention_swa_2pcnt_earn_6,Power Trip 6 Month Electric Plan with Rapid Rewards points,SAVE1 Retention 6 Month SWA - 2 points per $1,,SAVE1,02/02/2222,ma,electric,wmeco,,residential,6,contract,fixed,0.12300000000000001,0.12300000000000001,,,,,prorated,60.0,,,6,,,swa,620,,,,,,2*,1 Month,23.0,,False,NRGHRFIX
None,g00fba44bad1b342,U-00002419,1000027203,nrg_residential,retail,price_lock,,price_lock_12m,12M Price Lock Plan,12M Price Lock Plan,,,02/02/2222,ma,electric,wmeco,,residential,12,contract,fixed,0.135,0.135,,,,,prorated,120.0,,,6,,,nrr,524,,,,,,,,,,False,NRGHRFIX
None,g010084f7e0b9603,U-00004781,1000047358,nrg_residential,inbound_telemarketing,,,aal_2mon_10000_bonus_2pcnt_earn,Power Trip Electric Plan with AAdvantage miles,"10,000 bonus/ 2 miles per $1 - Jan 2020 DM",,Partnership/Airline/American,12/31/9999,pa,electric,penn,,residential,3,intro,variable,0.063,0.063,,,,,,,,,6,,,aal,47,,,,"10,000 Miles",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g010273e195c022c,U-00004886,1000047237,nrg_residential,inbound_telemarketing,,,ual_2mon_12500_bonus_3pcnt_earn,CH Power Trip Electric Plan with MileagePlus miles,"12,500 bonus/ 3 miles per $1 (Cardholders) - Jan 2020 DM",,hidden,12/31/9999,ma,electric,come,,residential,3,intro,variable,0.105,0.105,,,,,,,,,6,,,ual,98,,,,"12,500 Miles",2 Months,3*,1 Month,23.0,,False,NRGHRVAR
None,g01192a87e18fc0b,U-00004771,1000047657,nrg_residential,retention,,1.0,retention_aal_2pcnt_earn_3,Power Trip Electric Plan with AAdvantage miles,SAVE2 Retention 3 Month AAL - 2 miles per $1,,SAVE2,02/02/2222,ma,electric,beco,,residential,3,intro,variable,0.127,0.127,,,,,,,,,6,,,aal,620,,,,,,2*,1 Month,23.0,,False,NRGHRVAR
None,g011d733b535a5fc,U-00004801,1000047223,nrg_residential,inbound_telemarketing,,,ual_2mon_10000_bonus_2pcnt_earn,Power Trip Electric Plan with MileagePlus miles,"10,000 bonus/ 2 miles per $1 - Jan 2020 DM",,Partnership/Airline/United Airlines,12/31/9999,ma,electric,camb,,residential,3,intro,variable,0.105,0.105,,,,,,,,,6,,,ual,47,,,,"10,000 Miles",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g0121f091e0f66e8,U-00004772,1000037268,nrg_residential,retention,,1.0,retention_ual_3pcnt_earn_12,CH Power Trip 12 Month Electric Plan with MileagePlus points,LEAD Retention 12 Month UAL - 3 miles per $1 (Cardholders only),,LEAD,02/02/2222,ma,electric,come,,residential,12,contract,fixed,0.139,0.139,,,,,prorated,120.0,,,6,,,ual,622,,,,,,3*,1 Month,23.0,,False,NRGHRFIX
None,g0148d919d97883f,U-00002469,1000048196,nrg_residential,inbound_telemarketing,,,employee_offer,Employee Offer,Employee Offer,,hidden,02/02/2222,nj,electric,pseg,,residential,1,intro,variable,0.106,0.106,,,,,,,,,6,,,emp,524,,,,,,,,18.0,,False,NRGHRVAR2
None,g014d86f4287d415,U-00004754,1000043135,nrg_residential,retention,,1.0,retention_aal_2pcnt_earn_24,Power Trip 24 Month Electric Plan with AAdvantage miles,LEAD Retention 24 Month AAL - 2 miles per $1,,LEAD,02/02/2222,nj,electric,jcpl,,residential,24,contract,fixed,0.124,0.124,,,,,prorated,240.0,,,6,,,aal,620,,,,,,2*,1 Month,23.0,,False,NRGHRFIX2
None,g014f1c2acdf4a76,U-00004748,1000048516,nrg_residential,inbound_telemarketing,,,fnf_ual_2m_10500_bonus_2pcnt_earn,FNF Power Trip Electric Plan with MileagePlus miles,"10,500 after 2M/ 2 miles per $1",,Friends and Family,02/02/2222,pa,electric,peco,,residential,12,contract,fixed,0.069,0.069,,,,,prorated,120.0,,,6,,,ual,44,,,,"10,500 Miles",2 Months,2*,1 Month,8.0,,True,NRGHRFIX
None,g01567622a10995c,U-00004434,1000025646,nrg_residential,retention,,4.0,retention_no_frills,No Frills,LEAD Retention 24 Month No Frills,,LEAD,02/02/2222,ny,electric,rge,,residential,24,contract,fixed,0.065,0.065,,,,,prorated,100.0,,,6,,,rtn,524,,,,,,,,,,False,NRGHRFIX3
None,g015719077676585,U-00004831,1000047772,nrg_residential,retail,swa,,swa_3mon_10000_bonus_2pcnt_earn,Power Trip Electric Plan with Rapid Rewards points,"10,000 bonus/ 2 points per $1",,,02/02/2222,de,electric,dplde,,residential,3,intro,variable,0.07200000000000001,0.07200000000000001,,,,,,,,,6,,,swa,47,,,,"10,000 Points",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g015b74b7f6dc1b8,U-00003472,1000049356,nrg_residential,web,,,eagles_stadium_no,Eagles Electric Fan Plan,Eagles Fan Plan $25 Electric Gift Card,,,02/02/2222,pa,electric,penelec,,residential,12,contract,fixed,0.076,0.076,,,,,prorated,120.0,,,6,,,ngn,146,,,,$25,3 Months,,,,,True,NRGHRFIX
None,g015d01abbce0d68,U-00004799,1000048593,nrg_residential,retention,,1.0,retention_swa_3pcnt_earn_12,CH Power Trip 12 Month Electric Plan with Rapid Rewards points,LEAD Retention 12 Month - 3 points per $1 (Cardholders only),,LEAD,02/02/2222,ny,electric,chu,,residential,12,contract,fixed,0.075,0.075,,,,,prorated,100.0,,,6,,,swa,622,,,,,,3*,1 Month,23.0,,False,NRGHRFIX3
None,g016212ce276ec23,U-00005496,1000050030,nrg_residential,inbound_telemarketing,,,philabundance_gives,Fixed plan that benefits Philabundance,"$50 contribution to Philabundance after 1 month of service, and 1% ongoing contribution annually",Fixed,Charitable Contributions,04/04/4444,nj,electric,reco,,residential,12,contract,fixed,0.127,0.127,,,,,prorated,120.0,,,6,,,pbn,142,,,,$50,1 Months,1%,12 Months,26.0,,False,NRGHRFIX2
None,g016abcd5df49b19,U-00004718,1000047227,nrg_residential,web,,,spw_2mon_50000_bonus_15pcnt_earn,Power Trip Electric Plan with Speedy Rewards points,"50,000 bonus/ 15 points per $1 - Jan 2020 DM",,,12/31/9999,ma,electric,camb,,residential,3,intro,variable,0.105,0.105,,,,,,,,,6,,,spw,408,,,,"50,000 Points",2 Months,15*,1 Month,23.0,,False,NRGHRVAR
None,g0171dfb518b412c,U-00004748,1000048286,nrg_residential,inbound_telemarketing,,,fnf_ual_2m_10500_bonus_2pcnt_earn,FNF Power Trip Electric Plan with MileagePlus miles,"10,500 after 2M/ 2 miles per $1",,Friends and Family,02/02/2222,oh,electric,dpl,,residential,12,contract,fixed,0.055,0.055,,,,,prorated,0.0,,,6,,,ual,44,,,,"10,500 Miles",2 Months,2*,1 Month,8.0,,False,NRGHRFIX
None,g01729d654778975,U-00005414,1000049892,nrg_residential,retention,,3.0,nst_1mon_15mon_fixed,Learn & Conserve Plan,Google Nest after 1 month of service,Fixed,LEAD,04/04/4444,oh,electric,oe,,residential,15,contract,fixed,0.075,0.075,,,,,prorated,0.0,,,6,,,nst,612,Google Nest Learning Thermostat,nest_learning_thermostat,1 month,,,,,,,False,NRGHRFIX
None,g017b062212bc6ae,U-00004911,1000047764,nrg_residential,inbound_telemarketing,,,nst_1mon_15mon_fixed,Learn & Conserve Plan,Google Nest after 1 month of service,,Google Nest Learn and Conserve Plan,02/02/2222,nj,electric,pseg,,residential,15,contract,fixed,0.159,0.159,,,,,prorated,150.0,,,6,,,nst,612,Google Nest Learning Thermostat,nest_learning_thermostat,1 month,,,,,,,False,NRGHRFIX2
None,g01920ad4600b503,U-00004743,1000049248,nrg_residential,web,,,fnf_swa_2m_10500_bonus_2pcnt_earn,FNF Power Trip Electric Plan with Rapid Rewards points,"10,500 after 2M/ 2 points per $1",,,02/02/2222,md,electric,apmd,,residential,12,contract,fixed,0.075,0.075,,,,,prorated,120.0,,,6,,,swa,44,,,,"10,500 Miles",2 Months,2*,1 Month,8.0,,False,NRGHRFIX
None,g019cfda694393cc,U-00005556,1000050138,nrg_residential,outbound_telemarketing,,,variable,Variable,retention offer: 2 miles/ $1,Fixed,,04/04/4444,nj,electric,reco,,residential,3,intro,variable,0.099,0.099,,,,,,,,,6,,,aal,620,,,,,,2*,1 Month,23.0,,False,NRGHRVAR2
None,g019f9072afdb8d4,U-00004752,1000037010,nrg_residential,retention,,1.0,retention_aal_2pcnt_earn_12,Power Trip 12 Month Electric Plan with AAdvantage miles,LEAD Retention 12 Month AAL - 2 miles per $1,,LEAD,02/02/2222,md,electric,delmarva,,residential,12,contract,fixed,0.096,0.096,,,,,prorated,120.0,,,6,,,aal,620,,,,,,2*,1 Month,23.0,,False,NRGHRFIX
None,g019fc72f216f4c3,U-00003898,1000047692,nrg_residential,inbound_telemarketing,,,bigbrothersbigsisters_gives,Fixed plan that benefits Big Brothers Big Sisters,"$50 contribution to Big Brothers Big Sisters after 1 month of service, and 1% ongoing contribution annually",,Charitable Contributions,02/02/2222,nj,electric,pseg,,residential,12,contract,fixed,0.149,0.149,,,,,prorated,120.0,,,6,,,bbs,142,,,,$50,1 Months,1%,12 Months,26.0,,False,NRGHRFIX2
None,g01a1f551177356e,U-00004749,1000033869,nrg_residential,web,,,fnf_ual_2m_10500_bonus_2pcnt_earn,FNF Power Trip Electric Plan with MileagePlus miles,"10,500 after 2M/ 2 miles per $1",,,02/02/2222,nj,electric,jcpl,,residential,12,contract,fixed,0.11,0.11,,,,,prorated,120.0,,,6,,,ual,44,,,,"10,500 Miles",2 Months,2*,1 Month,8.0,,False,NRGHRFIX2
None,g01b52bce95cbcb0,U-00004725,1000048520,nrg_residential,retail,walmart,,walmart_indexed,Walmart Flex Plan,Flex Plan,,,02/02/2222,md,electric,pepco,,residential,3,intro,variable,0.08,0.08,,,,,,,,,6,,,wal,524,,,,,,,,22.0,,False,NRGHRVAR
None,g01c0388683605b9,U-00004434,1000037148,nrg_residential,retention,,4.0,retention_no_frills,No Frills,LEAD Retention 24 Month No Frills,,LEAD,02/02/2222,ny,electric,nyseg,,residential,24,contract,fixed,0.0725,0.0725,,,,,prorated,100.0,,,6,,,rtn,524,,,,,,,,,,False,NRGHRFIX3
None,g01c1037866b0b7f,U-00003676,1000047870,nrg_residential,inbound_telemarketing,,,hop_gives,Fixed Plan that Benefits Children's Hospital of Philadelphia,"$50 contribution to Children's Hospital of Philadelphia after 1 month of service, and 1% ongoing contribution annually",,Charitable Contributions,02/02/2222,de,electric,dplde,,residential,12,contract,fixed,0.09699999999999999,0.09699999999999999,,,,,prorated,120.0,,,6,,,hop,142,,,,$50,1 Months,1%,12 Months,26.0,,False,NRGHRFIX
None,g01cbd9f80b19bbe,U-00004725,1000043732,nrg_residential,retail,walmart,,walmart_indexed,Walmart Flex Plan,Flex Plan,,,02/02/2222,nj,electric,pseg,,residential,3,intro,variable,0.113,0.113,,,,,,,,,6,,,wal,524,,,,,,,,22.0,,False,NRGHRVAR2
None,g01d314e5eaff1cb,U-00004418,1000025351,nrg_residential,retention,,3.0,retention_cb_and_green,Cash Back + Green Option,LEAD Retention 12 Month 1% Cash Back and 25% Green,,LEAD,02/02/2222,pa,electric,peco,,residential,12,contract,fixed,0.089,0.089,,,,,prorated,120.0,,,7,,,rtn,522,,,,,,1%,3 Months,,,True,NRGHRFIX
None,g01d41aa7edb2846,U-00004744,1000048610,nrg_residential,inbound_telemarketing,,,fnf_swa_2m_10500_bonus_2pcnt_earn,FNF Power Trip Electric Plan with Rapid Rewards points,"10,500 after 2M/ 2 points per $1",,Friends and Family,02/02/2222,md,electric,bge,,residential,12,contract,fixed,0.085,0.085,,,,,prorated,120.0,,,6,,,swa,44,,,,"10,500 Miles",2 Months,2*,1 Month,8.0,,False,NRGHRFIX
None,g01d901ac7d5b199,U-00004815,1000033861,nrg_residential,web,,,fnf_aal_2m_10500_bonus_2pcnt_earn,FNF Power Trip Electric Plan with AAdvantage miles,"10,500 after 2M/ 2 miles per $1",,,02/02/2222,ma,electric,meco,,residential,12,contract,fixed,0.139,0.139,,,,,prorated,120.0,,,6,,,aal,44,,,,"10,500 Miles",2 Months,2*,1 Month,8.0,,False,NRGHRFIX
None,g01e3a5c003babc6,U-00002454,1000048403,nrg_residential,web,,,price_lock_18m_corporate,18M Price Lock Plan,18M Price Lock Plan - ngrhomepower.com,,,02/02/2222,ny,electric,coned,,residential,18,contract,fixed,0.11725,0.11725,,,,,prorated,100.0,,,6,,,nrr,524,,,,,,,,,,False,NRGHRFIX3
None,g01e4fef1269708a,U-00004434,1000037002,nrg_residential,retention,,4.0,retention_no_frills,No Frills,LEAD Retention 12 Month No Frills,,LEAD,02/02/2222,md,electric,apmd,,residential,12,contract,fixed,0.077,0.077,,,,,prorated,120.0,,,6,,,rtn,524,,,,,,,,,,False,NRGHRFIX
None,g01f31b91743f2b8,U-00004705,1000036757,nrg_residential,web,,,google_homehub_36mnths_corporate,36M Speak & Play,36M Speak & Play Google Nest Hub - nrghomepower.com,,,12/31/9999,ma,electric,meco,,residential,36,contract,fixed,0.165,0.165,,,,,prorated,360.0,,,6,,,goo,196,Google Nest Hub,google_home_hub,P5M,,,,,,,False,NRGHRFIX
None,g01f5937b710c608,U-00003304,1000033550,nrg_residential,inbound_telemarketing,,,fnf_gz_rockout_torch_3_months,FNF Renewable,GZ Rock Out and GZ Torch after 3M,,Friends and Family,02/02/2222,pa,electric,penn,,residential,12,contract,fixed,0.073,0.073,,,,,prorated,120.0,,,11,,,gze,159,GZ Rock Out 2 Solar Speaker|Torch 250 Flashlight,gz_rockout2_black|gz_torch250,P3M|P3M,,,,,8.0,,True,NRGHRFIX
None,g02045184e50a484,U-00004882,1000035889,nrg_residential,retail,aaa,,ama_2mon_75_cash_3pcnt_earn,3 Month Electric Plan for AAA Mid-Atlantic members,$75 Check/ 3% Cash Back,,,02/02/2222,oh,electric,dukeoh,,residential,3,intro,variable,0.055,0.055,,,,,,,,,6,,,ama,78,,,,$75,2 Months,3%,12 Months,23.0,NRGH-OH-PE-V01-20170623,False,NRGHRVAR
None,g02072a48c476db6,U-00004811,1000049663,nrg_residential,retention,,1.0,retention_ama_5pcnt_earn_3,Electric Plan for AAA Mid-Atlantic members,SAVE2 Retention 3 Month - 5% Cash Back (Member Offer),,SAVE2,02/02/2222,pa,electric,penelec,,residential,3,intro,variable,0.053,0.053,,,,,,,,,6,,,ama,636,,,,,,5%,12 Months,23.0,,False,NRGHRVAR
None,g02209131a718516,U-00004833,1000037136,nrg_residential,retention,,1.0,retention_csr_2pcnt_earn_12,Power Play 12 Month Electric Plan with Caesars Rewards,LEAD Retention 12 Month,,LEAD,02/02/2222,ma,electric,beco,,residential,12,contract,fixed,0.139,0.139,,,,,prorated,120.0,,,6,,,csr,620,,,,,,2*,1 Month,23.0,,False,NRGHRFIX
None,g0228b93f7be4d29,U-00004670,1000048524,nrg_residential,realtor,,,eagles_stadium_no,Eagles Electric Fan Plan,Eagles Fan Plan $25 Electric Gift Card,,Customer Facing|Realtor Facing,02/02/2222,pa,electric,wpp,,residential,12,contract,fixed,0.07200000000000001,0.07200000000000001,,,,,prorated,120.0,,,6,,,ngn,146,,,,$25,3 Months,,,25.0,,True,NRGHRFIX
None,g0228d50b9a5979a,U-00002419,1000048603,nrg_residential,retail,price_lock,,price_lock_12m,12M Price Lock Plan,12M Price Lock Plan,,,02/02/2222,pa,electric,meted,,residential,12,contract,fixed,0.079,0.079,,,,,prorated,120.0,,,6,,,nrr,524,,,,,,,,,,True,NRGHRFIX
None,g0231e8b37aa5f10,U-00004781,1000047255,nrg_residential,inbound_telemarketing,,,aal_2mon_10000_bonus_2pcnt_earn,Power Trip Electric Plan with AAdvantage miles,"10,000 bonus/ 2 miles per $1 - Jan 2020 DM",,Partnership/Airline/American,12/31/9999,ma,electric,wmeco,,residential,3,intro,variable,0.098,0.098,,,,,,,,,6,,,aal,47,,,,"10,000 Miles",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g0236a809854dca4,U-00004822,1000035108,nrg_residential,retention,,1.0,retention_psu_3pcnt_earn_3,Electric Plan for Penn State Alumni Association members,SAVE2 Retention 3 Month - 3% Cash Back,,SAVE2,02/02/2222,md,electric,delmarva,,residential,3,intro,variable,0.077,0.077,,,,,,,,,6,,,psu,624,,,,,,3%,12 Month,23.0,,False,NRGHRVAR
None,g024097787d726fb,U-00004318,1000049336,nrg_residential,inbound_telemarketing,,,hop_gives_flex,Flexible Plan that Benefits Children's Hospital of Philadelphia,"$50 contribution to Children's Hospital of Philadelphia after 1 month of service, and 1% ongoing contribution annually",,Charitable Contributions,02/02/2222,pa,electric,penelec,,residential,3,intro,variable,0.055999999999999994,0.055999999999999994,,,,,,,,,6,,,hop,142,,,,$50,1 Months,1%,12 Months,26.0,,False,NRGHRVAR
None,g0249ece70d14896,U-00004837,1000047361,nrg_residential,inbound_telemarketing,,,csr_2mon_10000_bonus_2pcnt_earn,Power Play Electric Plan with Caesars Rewards,"10,000 bonus/ 2 credits per $1 - Jan 2020 DM",,Partnership/Hotel/Caesars,12/31/9999,pa,electric,penn,,residential,3,intro,variable,0.063,0.063,,,,,,,,,6,,,csr,47,,,,"10,000 Points",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g0259065900e26dd,U-00004804,1000046971,nrg_residential,web,,,ual_2mon_10000_bonus_2pcnt_earn_corporate,Power Trip Electric Plan with MileagePlus miles,"10,000 bonus/ 2 miles per $1 - nrghomepower.com",,,02/02/2222,ma,electric,come,,residential,3,intro,variable,0.122,0.122,,,,,,,,,6,,,ual,47,,,,"10,000 Miles",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g026d9a22caa2b1f,U-00005245,1000047271,nrg_residential,inbound_telemarketing,,,ual_12mofix_10pct_12500_3pct_earn,UAL CH - Fixed Price Test 12mo Fixed/10% Disc,"12,500 /3 points per $1  (12mo fixed/10% disc) - January 2020 DM",,hidden,12/31/9999,md,electric,apmd,,residential,12,contract,fixed,0.057999999999999996,0.057999999999999996,,,,,prorated,120.0,,,6,,,ual,98,,,,"12,500 Miles",2 Months,3*,1 Month,23.0,,False,NRGHRFIX
None,g0272e3b33a16fe1,U-00004650,1000049667,nrg_residential,retention,,1.0,retention_blu_2pcnt_earn_12,BLU 12M Fixed Plan,LEAD Retention 12 Month BLU - 2 points per $1,,LEAD,02/02/2222,pa,electric,ppl,,residential,12,contract,fixed,0.085,0.085,,,,,prorated,120.0,,,6,,,blu,620,,,,,,2*,1 Month,23.0,,True,NRGHRFIX
None,g02730533bcf209f,U-00004880,1000048671,nrg_residential,web,,,fnf_swa_2m_13000_bonus_3pcnt_earn,FNF CH Power Trip Electric Plan with Rapid Rewards points,"13,000 after 2M/ 3 points per $1 (Cardholder)",,,02/02/2222,oh,electric,te,,residential,12,contract,fixed,0.063,0.063,,,,,prorated,0.0,,,6,,,swa,198,,,,"13,000 Miles",2 Months,3*,1 Month,8.0,,False,NRGHRFIX
None,g0278058fbe96214,U-00004925,1000037354,nrg_residential,retention,,4.0,retention_goo_homehub,Google Home Hub Retention Offer,12M Speak & Play Retention Offer Google Home Hub,,LEAD,12/31/9999,pa,electric,penn,,residential,12,contract,fixed,0.102,0.102,,,,,prorated,120.0,,,6,,,goo,197,Google Home Hub,google_home_hub,P3M,,,,,,,True,NRGHRFIX
None,g027c24aab35088a,U-00004474,1000049339,nrg_residential,web,,,blu_2mon_5000_bonus_2pcnt_earn_corporate,JetBlue Variable Plan,"5,000 bonus/ 2 points per $1 - nrghomepower.com",,,02/02/2222,pa,electric,meted,,residential,3,intro,variable,0.055,0.055,,,,,,,,,6,,,blu,35,,,,"5,000 Points",2 Months,2*,1 Month,23.0,,False,NRGHRVAR
None,g02819e5ec9b9769,U-00003340,1000048236,nrg_residential,web,,,nst_1mon_15mon_fixed,Learn & Conserve Plan,Google Nest after 1 month of service,,,02/02/2222,ny,electric,oru,,residential,15,contract,fixed,0.07825,0.07825,,,,,prorated,100.0,,,6,,,nst,612,Google Nest Learning Thermostat,nest_learning_thermostat,1 month,,,,,,,False,NRGHRFIX3
